年度,年度总结,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月_详情,2月_详情,3月_详情,4月_详情,5月_详情,6月_详情,7月_详情,8月_详情,9月_详情,10月_详情,11月_详情,12月_详情
2026,截止4月30日，已收集的诈骗 6 起，涉案金额 40224.06 元,1,0,1,3,1,,,,,,,,1月1日，被刷单返利(约炮)类骗4778元,/,3月24日，被刷单返利（约炮）类诈骗13500元,"4月7日，内网黑客入侵，1人被骗919.1元；1人被骗7917.96元；
4月30日，西坑1人通过抖音认识网友并向其购买演唱会门票被骗6038元",5月8日，1名员工在玩游戏时被陌生人询问是否能“代练游戏”，被骗7071元。,,,,,,,
2025,"截止12月31日，已收集的诈骗38起，涉案金额1,332,101元",1,4,1,3,6,3,5,4,4,1,2,4,"1月22日刷单返利被骗7,377元","①9日刷单返利被骗50,834元（潼湖）；
②20日刷单返利被骗42,407元（潼湖）
③23日刷单返利类：1名员工被骗22,177元；
④扫码补贴诈骗，手机银行卡账号被扣款33,047元（武汉）","3月30日虚假购物被骗7,980元（潼湖）","①4月1日刷单返利类：被骗10,200元；
②4月7日刷单返利类：被诈骗120,000元；
③4月28日刷单返利被骗84,000元（潼湖）","①被冒充熟人借钱，骗去10,000元（荆门六区）
②刷单返利，被骗39,597元。（荆门一区）
③刷单返利，被骗11,799元。（荆门八区）
④虚假服务（网上报名培训），被骗2,850元。（荆门十区）
⑤住宿刷单被骗100,000元；（A区，街道有 警官无）
⑥机票退改被骗69,536.24元（集能）","6月28日刷单返利被骗10,326元（潼湖）
荆门2起",荆门5起,"8月2日其他类型被骗8,666元","①2日刷单返利被骗6,400元；
②8日刷单返利-小说广告约炮被骗128,338元；
③11日刷单返利-直播间网上兼职被骗215,310元；
④25日虚假投资被骗148,525元","①虚假交友：被骗6,000元（街道有 警官无）","①3日刷单返利-约炮被骗30,000元

荆门1起（待定）","①2日敲诈勒索-约炮未遂被勒索21,979元；
②13日虚假交友被骗14,458元；
③虚假购物-演唱会门票被骗21,991元；
④20日刷单返利-约炮被骗108,304元"
2024,"年度诈骗18起，金额达1,105,558.8元",2,0,3,3,2,3,0,2,2,1,0,0,"①虚假贷款类：10000元；
②虚假服务类：12999元",/,"①虚假服务：74487元；
②刷单返利：22000元；
③虚假服务：125255元","①虚假理财：40000元；
②网恋杀猪：159902元；
③虚假理财：219372元","①网上约炮：63000元；
②虚假服务：83713.8元","①虚假服务：22400元
②虚假服务：43634元
③虚假贷款：12000元",/,"①网络钓鱼：3700元
②网络钓鱼：7930元","①虚假理财：89279元
②虚假理财：43565元",①网上约炮：72322元,/,/
2023,"年度诈骗41起，金额达3,394,967.69元",3,3,8,3,6,0,3,3,0,7,4,1,"①虚假征信：200000元
②虚假投资理财：1,057,931元
③接触性：3800元","①被骗13669元；
②约炮充值6791元
③刷单返利：207618元","①约炮刷单：40006
②冒充公检法：10000
③虚假投资理财：20000
④虚假交友：19500
⑤刷单返利：6403
⑥刷单返利：100000
⑦约炮充值：28320
⑧接触性：2900","①被骗8000元
②被骗60982.11元
③被冒充公检法骗：10900元","①冒充公检法：245136
②约炮刷单：17214
③约炮刷单：15815
④约炮刷单：48021
⑤约炮刷单：3242
⑥虚假服务：37930.93",/,"①虚假服务：132950
②约炮刷单：57350
③虚假购物：3620","①约炮刷单：21140
②被骗：271800
③约炮赌博：17765",/,"①约炮刷单	28000
②被骗51468.65
③刷单返利	5700
④刷单返利	10600
⑤假冒客服	151026
⑥虚假网恋	163000
⑦虚假投资+
假冒公检法	79146","①被骗8600
②约炮刷单	188800
③被骗23323
④充值返现	1500",①虚假网贷：15000
