类别,年度,年度总结,指标,详情,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
保密协议,2026年,,其他,其他,"14日三份协议更新后发至法务审核完毕；
15日新实习和退休协议上线EHR",/,/,查了保密协议的签署情况，发现给研发人员发了非研发的合同（少发研发专项保密协议），核查发现错误率达12.86%，已完成补签。后续将优化系统至自动识别人员职类，规避人为选择的错误。,优化项待办中，需IT支持,,,,,,,
保密协议,2025年,/,研发,研发,,,,,,,,,,,,
保密协议,2025年,,海外&项目,海外&项目,,,,,,,,,,,,
保密协议,2025年,,其他,其他,,,,,,,,,,,,
保密协议,2024年,/,研发,研发,/,/,/,/,/,/,/,,,,,
保密协议,2024年,,海外,海外,/,/,/,/,/,/,/,,,,,
保密协议,2024年,,其他,其他,/,/,/,/,/,/,/,,,,,
宣传工作,2026年,/,计划,计划,"目标：保密（及专项）知识触及每一位亿纬人
内容：依据【反诈-防泄密-正道经营-五防&CLS】的顺序每季度主要开展1类宣传，通过线上线下文化墙、展示图、活动及竞赛等方式与保卫BP联合开展
节点：季度次月（2月、5月、8月、11月）
输出：宣传内容及覆盖区域",,,,,,,,,,,
宣传工作,2026年,,数量,数量,1,2,1,4,2,,,,,,,
宣传工作,2026年,,情况,情况,15日-企微通知公告发布【反诈“黑话”】海报,10日-涉刑案件通报；12日-节前保密自检,反诈宣传标语粘贴至（AB）厂区宿舍,"2日厂区标语及展板展示（3处）；
9日、28日、30日各开展专项培训1场：海外保密*2、研发保密1；
15日闸机图示/企微图示【415全民国家安全教育日】、【保密宣传月】；
22日、29日发布喜报、《保密大挑战 快来看看怎么选》、《小心间谍打造的“发票陷阱”》。","6日发布《筑牢保密防线 从管好每一份载体开始》
13日发布《保密无小事 线索即防线》
保密标语推广…
保密答题活动…","①确认“举报有奖”开展形式并宣发，更新《商业秘密保密管理规定》并发布。
②《2026年保密知识推广》方案确认并逐步开展推广。",,,,,,
宣传工作,2025年,,数量,数量,,,,,,,,,,,,
宣传工作,2025年,,情况,情况,,,,完成电脑桌面更新增加“泄露商业秘密触犯刑法”，线下将对各个厂区内部铺设保卫保密横幅宣传；每周二开展保密线上宣传，当前已在餐厅开展，计划通过安全播放器推广至更大范围的休息区域、门禁区域宣导。,,,,,,,,
